Drug_Pair_CUIs,Interaction_Class
C0011685_C0123931,0
C0123931_C0011685,4
C0015020_C3537278,0
C0015020_C0028128,0
C3537278_C0015020,0
C3537278_C0028128,0
C0028128_C0015020,1
C0028128_C3537278,1
C0246415_C0771375,0
C0246415_C0388976,4
C0246415_C1311070,4
C0771375_C0246415,0
C0771375_C0388976,4
C0771375_C1311070,4
C0388976_C0246415,0
C0388976_C0771375,0
C0388976_C1311070,0
C1311070_C0246415,0
C1311070_C0771375,0
C1311070_C0388976,0
C2935840_C0011777,0
C0015133_C1999375,4
C1999375_C0015133,0
C0025605_C0002555,4
C0002555_C0025605,0
C0025605_C0008296,1
C0008296_C0025605,0
C1619629_C0078257,0
C0078257_C1619629,5
C1506770_C0209368,0
C0209368_C1506770,2
C0765273_C1176306,2
C1176306_C0765273,0
C0039771_C0304441,0
C0039771_C0025605,4
C0304441_C0039771,0
C0304441_C0025605,4
C0025605_C0039771,0
C0025605_C0304441,0
C0144576_C0678133,0
C0144576_C3713066,4
C0144576_C4519101,4
C0678133_C0144576,0
C0678133_C3713066,4
C0678133_C4519101,4
C3713066_C0144576,0
C3713066_C0678133,0
C3713066_C4519101,0
C4519101_C0144576,0
C4519101_C0678133,0
C4519101_C3713066,0
C0068485_C0123931,0
C0015133_C2935436,2
C0015133_C3643461,2
C2935436_C0015133,0
C2935436_C3643461,0
C3643461_C0015133,0
C3643461_C2935436,0
C0025605_C0085173,2
C0085173_C0025605,0
C0025605_C0055147,1
C0055147_C0025605,0
C0073372_C3818721,5
C3818721_C0073372,0
C0030896_C0733530,0
C0733530_C0030896,0
C2935840_C0030896,0
C2935840_C0733530,0
C0026256_C1135132,5
C1135132_C0026256,0
C1506770_C1571583,4
C1571583_C1506770,0
C0246415_C0771375,0
C0246415_C2828242,4
C0771375_C0246415,0
C0771375_C2828242,4
C2828242_C0246415,0
C2828242_C0771375,0
C0038742_C0123931,0
C0123931_C0038742,5
C0078442_C1122962,0
C0042682_C2974289,2
C2974289_C0042682,0
C3818721_C0072980,0
C0072980_C3818721,2
C0220578_C0025605,0
C0025605_C0220578,1
C1506770_C0008783,0
C0008783_C1506770,2
C0041009_C0025605,0
C0025605_C0041009,1
C0025887_C0025605,0
C0025605_C0025887,2
C0123931_C0393080,0
C0376637_C2697674,0
C0376637_C0025605,2
C2697674_C0376637,0
C2697674_C0025605,2
C0025605_C0376637,0
C0025605_C2697674,0
C0024477_C1135135,0
C0012258_C0015133,0
C0015133_C0012258,4
C0014710_C0146224,0
C0146224_C0014710,0
C0025605_C0078257,4
C0078257_C0025605,0
C0014921_C0123931,0
C0123931_C0014921,1
C0025872_C2974289,4
C2974289_C0025872,0
C0085149_C0771204,0
